Brooklyn,Denver,time_rem
44-24,44-24,48M 0S
0,0,47M 50S
3,0,47M 25S
3,3,47M 8S
3,6,46M 25S
5,6,46M 11S
5,9,45M 59S
5,11,45M 35S
5,13,44M 46S
7,13,44M 34S
9,13,44M 6S
9,15,43M 48S
11,15,43M 39S
11,17,42M 50S
13,17,41M 54S
13,20,41M 39S
13,23,41M 5S
14,23,40M 47S
16,23,40M 33S
18,23,40M 10S
18,26,39M 44S
20,26,39M 26S
20,28,39M 4S
20,30,37M 51S
23,30,37M 10S
23,32,36M 56S
23,35,36M 32S
24,35,36M 22S
24,36,36M 5S
24,37,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,37,35M 8S
26,37,35M 8S
26,39,34M 56S
26,40,34M 37S
26,41,34M 37S
26,44,33M 45S
29,44,33M 32S
29,45,33M 15S
31,45,33M 5S
31,48,32M 46S
32,48,32M 31S
33,48,32M 31S
33,50,32M 16S
33,52,31M 52S
35,52,31M 40S
36,52,31M 18S
37,52,31M 18S
40,52,30M 54S
40,53,29M 59S
40,54,29M 59S
40,55,29M 59S
40,57,29M 47S
41,57,29M 27S
41,60,29M 3S
43,60,28M 51S
43,62,28M 38S
45,62,28M 4S
45,64,27M 41S
45,66,27M 11S
46,66,26M 58S
47,66,26M 58S
48,66,26M 31S
49,66,26M 31S
49,67,26M 16S
49,68,25M 54S
49,69,25M 54S
50,69,25M 43S
50,71,25M 22S
52,71,25M 9S
53,71,24M 36S
54,71,24M 36S
56,71,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,71,23M 49S
61,71,23M 18S
64,71,22M 46S
64,73,22M 13S
67,73,21M 53S
67,75,21M 36S
69,75,21M 22S
71,75,20M 50S
71,77,20M 18S
74,77,20M 5S
74,80,19M 45S
74,83,19M 20S
76,83,19M 2S
76,84,18M 52S
76,85,18M 52S
79,85,18M 28S
79,87,18M 8S
81,87,17M 51S
81,90,17M 37S
84,90,17M 17S
84,91,17M 1S
84,92,17M 1S
84,94,16M 15S
86,94,15M 59S
86,97,15M 27S
89,97,15M 12S
92,97,14M 46S
92,99,14M 31S
92,101,14M 1S
92,102,14M 1S
92,103,13M 19S
92,104,13M 19S
94,104,13M 9S
97,104,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,106,11M 16S
100,106,10M 56S
100,108,10M 34S
101,108,10M 24S
102,108,10M 24S
104,108,10M 5S
105,108,9M 29S
108,108,7M 56S
108,110,6M 55S
111,110,6M 12S
113,110,5M 12S
113,112,4M 29S
115,112,4M 12S
116,112,3M 51S
116,114,3M 4S
118,114,2M 13S
118,116,1M 58S
118,117,1M 58S
119,117,1M 42S
120,117,1M 42S
120,118,1M 30S
120,119,1M 30S
121,119,21S
122,119,21S
Jump ball: N. Jokić vs. J. Green (N. Jokić gains possession),NA,13S
123,119,9S
124,119,9S
125,119,9S
End of 4th quarter,NA,0S
