Brooklyn,Utah,time_rem
30-15,32-11,48M 0S
0,0,47M 46S
0,3,46M 58S
2,3,46M 12S
2,5,45M 33S
4,5,45M 14S
4,8,45M 0S
4,10,44M 35S
4,11,44M 19S
4,13,43M 59S
4,16,43M 39S
6,16,42M 43S
6,19,42M 19S
8,19,42M 0S
8,21,41M 46S
8,24,41M 17S
10,24,40M 58S
11,24,40M 58S
11,26,40M 35S
11,28,40M 17S
14,28,39M 41S
14,30,38M 57S
14,33,38M 0S
17,33,37M 8S
17,34,36M 52S
17,35,36M 52S
17,38,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,38,35M 22S
22,38,34M 37S
24,38,34M 6S
24,39,33M 0S
24,40,33M 0S
26,40,32M 33S
28,40,30M 54S
28,43,30M 28S
28,45,29M 23S
30,45,28M 41S
30,48,28M 27S
30,51,27M 51S
31,51,27M 40S
31,53,27M 33S
31,55,27M 12S
32,55,26M 54S
32,58,26M 32S
34,58,25M 53S
36,58,25M 23S
36,59,24M 45S
38,59,24M 42S
38,61,24M 35S
38,63,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
38,64,22M 34S
38,65,22M 34S
38,68,22M 4S
38,71,21M 43S
40,71,20M 46S
40,72,20M 32S
40,73,20M 32S
40,75,19M 39S
40,78,19M 13S
42,78,18M 53S
44,78,18M 17S
44,79,17M 39S
44,80,17M 39S
46,80,17M 31S
46,82,17M 5S
48,82,16M 53S
50,82,16M 25S
50,85,16M 17S
52,85,15M 37S
52,88,15M 7S
53,88,14M 6S
55,88,14M 2S
58,88,13M 26S
58,90,13M 10S
Jump ball: R. Gobert vs. N. Claxton (J. Ingles gains possession),NA,12M 47S
61,90,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
62,90,11M 29S
63,90,11M 29S
63,92,10M 59S
63,93,10M 59S
63,96,10M 38S
66,96,9M 56S
66,99,9M 39S
66,102,8M 35S
68,102,7M 8S
70,102,5M 40S
70,105,5M 22S
73,105,5M 7S
75,105,4M 29S
75,107,3M 56S
77,107,3M 3S
77,110,2M 53S
79,110,2M 36S
80,110,2M 11S
81,110,2M 11S
83,110,1M 54S
84,110,1M 54S
84,113,1M 44S
85,113,1M 10S
86,113,1M 10S
86,115,57S
88,115,34S
88,118,18S
End of 4th quarter,NA,0S
