Chicago,Boston,time_rem
24-33,31-27,48M 0S
0,0,47M 56S
0,2,47M 28S
0,4,46M 57S
0,6,46M 29S
0,9,45M 55S
2,9,45M 7S
2,11,44M 59S
5,11,44M 41S
5,13,44M 18S
7,13,43M 57S
9,13,43M 28S
9,16,42M 42S
12,16,41M 49S
15,16,41M 7S
15,19,40M 39S
15,21,40M 13S
17,21,39M 59S
17,23,39M 41S
19,23,39M 7S
19,25,38M 48S
19,28,38M 11S
22,28,37M 44S
22,30,37M 28S
24,30,37M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,30,35M 21S
27,32,34M 54S
27,34,32M 40S
29,34,32M 20S
30,34,32M 20S
30,36,32M 7S
30,37,31M 38S
30,38,31M 38S
30,40,31M 7S
32,40,30M 20S
32,42,29M 3S
32,44,28M 33S
34,44,27M 42S
34,45,27M 25S
36,45,27M 8S
38,45,25M 55S
40,45,25M 17S
40,48,24M 18S
42,48,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,48,23M 14S
44,50,22M 48S
44,51,22M 48S
47,51,22M 30S
47,53,22M 16S
50,53,21M 56S
50,56,21M 20S
53,56,21M 0S
54,56,20M 30S
55,56,20M 30S
55,57,19M 46S
55,58,19M 46S
57,58,19M 38S
57,60,19M 21S
59,60,19M 10S
59,62,18M 33S
61,62,17M 55S
Jump ball: P. Williams vs. G. Williams (D. Theis gains possession),NA,17M 13S
61,64,16M 48S
64,64,15M 52S
66,64,15M 7S
68,64,14M 33S
70,64,13M 51S
70,66,13M 31S
72,66,13M 4S
74,66,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,69,11M 48S
74,70,11M 19S
74,71,11M 19S
76,71,10M 38S
78,71,9M 59S
78,73,9M 41S
80,73,9M 14S
80,75,9M 0S
82,75,8M 53S
82,78,8M 42S
85,78,8M 17S
85,80,7M 56S
85,82,6M 43S
Jump ball: T. Thompson vs. N. Vučević (J. Tatum gains possession),NA,6M 5S
85,83,6M 4S
85,84,6M 4S
88,84,5M 25S
90,84,4M 38S
90,87,4M 21S
90,90,3M 25S
92,90,3M 5S
94,90,2M 0S
96,90,1M 41S
96,91,1M 36S
96,92,1M 36S
Jump ball: J. Tatum vs. D. Theis (T. Waters gains possession),NA,24S
96,94,16S
97,94,15S
98,94,15S
98,95,13S
98,96,13S
99,96,10S
100,96,10S
101,96,0S
102,96,0S
End of 4th quarter,NA,0S
