Cleveland,Denver,time_rem
10-16,13-11,48M 0S
2,0,47M 37S
4,0,47M 20S
4,3,47M 1S
4,5,46M 37S
6,5,46M 16S
6,7,45M 55S
8,7,45M 19S
8,8,44M 54S
8,10,44M 30S
8,13,43M 54S
8,15,43M 21S
9,15,43M 2S
10,15,43M 2S
10,17,42M 40S
10,18,42M 3S
10,19,42M 3S
10,21,41M 28S
12,21,41M 1S
12,24,40M 48S
12,25,40M 23S
14,25,39M 4S
14,28,38M 51S
14,29,38M 23S
14,30,38M 23S
15,30,37M 43S
16,30,37M 43S
16,32,37M 20S
16,34,36M 52S
17,34,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,34,35M 38S
19,34,35M 38S
19,37,35M 27S
20,37,35M 2S
21,37,35M 2S
21,39,34M 23S
23,39,34M 6S
23,41,33M 53S
25,41,33M 43S
25,43,32M 52S
27,43,32M 1S
27,45,31M 47S
29,45,31M 7S
29,48,30M 49S
29,51,30M 7S
32,51,29M 3S
32,52,28M 53S
34,52,28M 41S
34,54,28M 23S
34,57,27M 57S
35,57,27M 38S
38,57,27M 8S
38,59,26M 49S
38,60,26M 49S
39,60,26M 21S
40,60,26M 21S
40,61,26M 7S
40,62,26M 7S
42,62,25M 48S
43,62,25M 48S
43,64,24M 51S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,66,23M 46S
45,66,23M 25S
45,68,22M 53S
45,71,22M 34S
47,71,22M 4S
47,73,21M 54S
47,76,21M 31S
50,76,21M 3S
50,78,19M 46S
50,79,18M 50S
50,80,18M 50S
52,80,18M 4S
52,82,17M 52S
54,82,17M 36S
54,83,17M 23S
56,83,17M 9S
56,85,16M 55S
56,87,16M 28S
58,87,15M 47S
58,89,15M 29S
61,89,15M 8S
62,89,14M 41S
62,91,13M 55S
62,94,13M 29S
62,96,12M 49S
64,96,12M 40S
64,98,12M 28S
66,98,12M 8S
66,100,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
68,100,11M 42S
68,103,11M 29S
70,103,11M 1S
70,106,10M 39S
70,109,10M 17S
70,112,8M 51S
73,112,8M 38S
75,112,8M 8S
77,112,7M 40S
77,114,7M 16S
77,116,6M 54S
80,116,6M 42S
80,117,6M 16S
80,118,6M 16S
82,118,5M 20S
82,120,4M 58S
85,120,4M 20S
85,123,4M 2S
86,123,3M 44S
89,123,3M 2S
89,125,2M 37S
89,127,2M 8S
89,129,1M 51S
89,131,1M 42S
91,131,1M 28S
93,131,35S
93,133,13S
95,133,5S
End of 4th quarter,NA,0S
