Dallas,LA Clippers,time_rem
3-4,4-3,48M 0S
2,0,47M 44S
2,2,46M 59S
5,2,46M 47S
5,4,46M 30S
6,4,45M 56S
7,4,45M 56S
7,6,45M 40S
7,8,45M 10S
9,8,44M 47S
9,11,44M 37S
11,11,44M 13S
11,14,44M 6S
13,14,43M 45S
13,16,42M 59S
16,16,42M 45S
16,19,42M 22S
18,19,41M 59S
18,21,41M 40S
19,21,41M 9S
20,21,41M 9S
20,23,40M 44S
23,23,40M 27S
26,23,40M 10S
26,26,39M 55S
26,29,39M 31S
26,31,39M 11S
28,31,39M 0S
30,31,38M 19S
30,32,38M 13S
30,33,38M 13S
32,33,37M 59S
33,33,37M 31S
34,33,37M 31S
36,33,37M 8S
36,35,36M 14S
38,35,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,37,35M 50S
38,40,34M 38S
40,40,34M 6S
40,43,33M 51S
40,46,32M 9S
42,46,31M 24S
42,47,31M 7S
42,48,31M 7S
44,48,29M 46S
44,51,29M 30S
46,51,29M 17S
48,51,28M 38S
49,51,28M 38S
49,53,28M 28S
49,54,28M 13S
49,55,28M 13S
51,55,27M 50S
51,58,27M 41S
54,58,27M 28S
54,59,27M 8S
54,60,27M 8S
54,62,26M 42S
54,63,26M 42S
56,63,26M 4S
58,63,25M 45S
58,64,25M 34S
58,65,25M 34S
60,65,25M 19S
60,67,25M 1S
62,67,24M 48S
62,70,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,70,23M 26S
67,70,23M 7S
67,72,22M 52S
70,72,22M 46S
72,72,22M 3S
72,74,21M 43S
74,74,21M 10S
74,76,20M 25S
76,76,20M 8S
79,76,19M 15S
81,76,18M 53S
81,79,18M 40S
81,80,18M 9S
81,81,18M 9S
81,83,17M 43S
81,86,17M 9S
81,87,15M 35S
81,88,15M 35S
83,88,15M 16S
83,91,14M 42S
83,93,13M 59S
83,94,13M 59S
83,97,12M 54S
85,97,12M 44S
85,100,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,102,11M 27S
87,102,11M 7S
87,104,10M 49S
87,105,9M 20S
87,106,9M 20S
89,106,8M 33S
91,106,7M 57S
91,108,7M 42S
94,108,7M 29S
94,111,7M 5S
96,111,6M 44S
97,111,6M 0S
98,111,6M 0S
100,111,4M 38S
100,114,4M 16S
101,114,3M 20S
102,114,3M 20S
104,114,2M 47S
107,114,2M 6S
107,117,1M 45S
107,120,1M 16S
109,120,1M 8S
109,121,53S
109,122,53S
111,122,42S
111,123,41S
111,124,41S
111,125,37S
111,126,37S
End of 4th quarter,NA,0S
