Denver,Oklahoma City,time_rem
18-15,14-20,48M 0S
3,0,47M 37S
5,0,47M 2S
6,0,46M 37S
7,0,46M 37S
10,0,45M 28S
13,0,44M 59S
13,2,44M 41S
15,2,44M 9S
15,4,43M 23S
17,4,43M 1S
19,4,42M 27S
19,6,42M 12S
21,6,41M 56S
24,6,41M 8S
24,8,40M 48S
27,8,40M 32S
27,11,40M 8S
27,13,39M 40S
29,13,39M 19S
29,15,39M 8S
31,15,38M 47S
33,15,38M 0S
36,15,37M 40S
37,15,36M 56S
38,15,36M 56S
38,17,36M 32S
38,20,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,22,35M 36S
38,24,35M 9S
40,24,34M 57S
42,24,34M 29S
42,26,34M 15S
42,28,32M 40S
42,30,32M 10S
44,30,31M 54S
45,30,31M 23S
45,32,31M 4S
47,32,30M 49S
47,34,30M 35S
47,36,30M 14S
49,36,29M 50S
52,36,28M 25S
52,39,28M 8S
54,39,27M 53S
54,41,27M 44S
56,41,27M 13S
58,41,26M 51S
61,41,26M 20S
63,41,25M 43S
65,41,25M 1S
65,43,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,44,23M 46S
65,45,23M 46S
68,45,23M 33S
68,48,23M 16S
70,48,22M 36S
72,48,22M 17S
72,50,21M 23S
74,50,20M 38S
76,50,20M 3S
76,52,19M 46S
76,54,18M 42S
78,54,18M 22S
80,54,17M 48S
80,55,17M 45S
80,56,17M 45S
82,56,17M 28S
82,59,17M 13S
84,59,16M 20S
84,62,16M 5S
85,62,15M 22S
86,62,15M 22S
86,64,15M 14S
89,64,15M 2S
89,66,14M 10S
91,66,13M 44S
93,66,12M 59S
94,66,12M 59S
94,68,12M 47S
97,68,12M 36S
97,69,12M 12S
99,69,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,69,10M 35S
100,72,10M 16S
103,72,10M 6S
103,75,9M 48S
106,75,9M 30S
106,78,9M 15S
108,78,8M 44S
108,80,8M 28S
108,81,8M 28S
111,81,7M 44S
111,82,7M 34S
113,82,7M 21S
114,82,7M 21S
116,82,6M 33S
116,83,5M 52S
118,83,5M 14S
118,85,4M 3S
120,85,3M 48S
120,86,3M 33S
123,86,1M 29S
123,88,1M 19S
124,88,1M 6S
124,91,1M 0S
125,91,44S
126,91,44S
126,92,37S
126,93,37S
126,96,10S
End of 4th quarter,NA,0S
