Denver,Sacramento,time_rem
1-3,3-1,48M 0S
0,0,47M 47S
2,0,47M 32S
2,2,47M 11S
4,2,46M 46S
6,2,46M 6S
8,2,45M 53S
8,5,45M 28S
10,5,45M 17S
12,5,44M 47S
12,7,44M 33S
14,7,44M 21S
14,9,44M 7S
16,9,43M 53S
16,10,43M 45S
16,11,43M 45S
16,13,43M 23S
16,16,43M 2S
18,16,42M 34S
18,17,42M 30S
18,19,42M 15S
18,21,41M 27S
20,21,41M 13S
20,24,40M 29S
22,24,40M 17S
24,24,39M 49S
27,24,39M 26S
27,27,38M 47S
29,27,38M 39S
30,27,38M 39S
32,27,38M 5S
32,28,37M 17S
32,29,36M 56S
32,30,36M 56S
32,31,36M 31S
32,32,36M 31S
34,32,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,32,35M 44S
37,35,35M 3S
38,35,34M 51S
38,38,34M 38S
38,41,33M 58S
41,41,33M 43S
43,41,32M 53S
43,42,32M 35S
43,43,32M 35S
43,46,32M 0S
45,46,31M 26S
45,48,30M 57S
47,48,30M 6S
47,51,29M 48S
47,53,29M 23S
48,53,29M 13S
49,53,29M 13S
49,56,28M 59S
51,56,28M 42S
51,58,28M 35S
53,58,28M 3S
53,60,27M 4S
53,61,26M 36S
53,62,26M 36S
54,62,26M 24S
54,64,26M 17S
57,64,26M 1S
57,66,25M 52S
57,67,25M 52S
59,67,25M 41S
59,69,25M 1S
59,71,24M 33S
62,71,24M 21S
62,74,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,74,23M 18S
64,76,22M 33S
64,78,21M 57S
67,78,21M 41S
69,78,21M 11S
69,81,20M 58S
71,81,20M 35S
73,81,19M 54S
75,81,19M 13S
76,81,18M 52S
77,81,18M 52S
79,81,18M 32S
81,81,18M 5S
82,81,18M 5S
85,81,17M 30S
85,83,16M 40S
86,83,16M 25S
87,83,16M 25S
88,83,16M 10S
89,83,16M 10S
89,85,15M 36S
91,85,15M 7S
91,87,14M 59S
94,87,14M 42S
94,89,14M 27S
95,89,14M 2S
96,89,14M 2S
99,89,13M 39S
99,91,13M 23S
99,92,12M 42S
99,94,12M 13S
100,94,12M 7S
100,95,12M 4S
100,96,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,98,11M 50S
102,98,11M 26S
105,98,9M 58S
105,101,9M 39S
105,104,9M 11S
105,106,8M 50S
107,106,8M 4S
107,108,7M 11S
107,109,7M 11S
108,109,7M 3S
108,111,6M 26S
108,113,5M 55S
108,115,4M 19S
108,117,3M 46S
108,120,3M 4S
111,120,2M 18S
113,120,1M 40S
113,122,51S
113,125,32S
115,125,26S
End of 4th quarter,NA,0S
