Detroit,Houston,time_rem
12-29,11-29,48M 0S
0,0,47M 50S
0,2,47M 29S
2,2,47M 13S
2,4,46M 35S
5,4,46M 9S
5,6,45M 34S
5,8,45M 2S
8,8,44M 45S
10,8,43M 28S
10,10,42M 57S
10,11,42M 57S
12,11,42M 39S
12,13,42M 24S
14,13,42M 10S
14,15,41M 16S
16,15,41M 6S
17,15,40M 46S
18,15,40M 46S
18,17,40M 30S
18,19,40M 6S
20,19,39M 51S
21,19,39M 51S
21,22,39M 29S
22,22,38M 55S
23,22,38M 55S
23,24,38M 41S
23,26,37M 54S
25,26,37M 19S
27,26,36M 59S
27,28,36M 5S
Jump ball: D. Smith vs. K. Martin (J. Jackson gains possession),NA,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,28,35M 47S
31,28,35M 10S
31,29,35M 3S
31,30,35M 3S
31,32,34M 5S
32,32,33M 52S
33,32,33M 52S
33,35,33M 35S
34,35,33M 24S
35,35,33M 24S
35,37,33M 9S
37,37,32M 24S
40,37,32M 0S
40,39,31M 33S
43,39,31M 9S
43,42,29M 59S
46,42,29M 13S
46,44,28M 50S
48,44,28M 22S
48,46,28M 3S
48,47,27M 42S
48,48,27M 42S
51,48,26M 37S
51,51,26M 14S
52,51,25M 45S
53,51,25M 45S
55,51,25M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,51,23M 37S
60,51,21M 21S
60,53,21M 0S
60,55,20M 40S
60,56,20M 40S
61,56,20M 21S
62,56,20M 21S
62,59,20M 6S
65,59,19M 48S
65,60,19M 19S
65,61,19M 19S
66,61,18M 27S
67,61,18M 27S
68,61,17M 57S
69,61,17M 57S
70,61,17M 57S
70,63,17M 41S
72,63,17M 28S
72,65,17M 12S
73,65,16M 14S
73,67,15M 51S
76,67,15M 40S
76,69,15M 27S
77,69,15M 11S
77,71,15M 0S
79,71,14M 46S
82,71,14M 3S
82,74,13M 28S
84,74,12M 5S
84,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,77,11M 28S
88,77,10M 39S
89,77,10M 39S
89,78,10M 23S
89,79,10M 23S
89,81,9M 58S
91,81,9M 31S
91,82,9M 21S
91,83,9M 21S
93,83,9M 8S
93,85,8M 28S
93,87,7M 58S
96,87,7M 15S
96,89,6M 56S
96,91,6M 30S
98,91,6M 10S
99,91,5M 39S
100,91,5M 39S
102,91,5M 14S
103,91,4M 20S
104,91,4M 20S
107,91,2M 59S
107,93,2M 7S
110,93,1M 9S
110,96,1M 0S
110,97,1M 0S
113,97,43S
113,100,38S
End of 4th quarter,NA,0S
