LA Clippers,Golden State,time_rem
6-3,4-4,48M 0S
0,0,47M 46S
2,0,46M 26S
3,0,43M 58S
4,0,43M 58S
4,2,43M 19S
4,4,42M 49S
7,4,42M 34S
7,6,42M 17S
9,6,41M 55S
10,6,41M 55S
12,6,40M 58S
14,6,40M 23S
14,8,40M 2S
16,8,37M 40S
16,10,37M 26S
19,10,37M 9S
19,13,36M 50S
19,14,36M 31S
19,15,36M 31S
21,15,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,15,35M 47S
23,17,35M 30S
23,18,35M 30S
25,18,35M 6S
27,18,34M 51S
28,18,34M 51S
28,20,34M 35S
28,21,34M 35S
30,21,34M 15S
30,23,34M 1S
30,25,33M 32S
32,25,33M 11S
32,27,32M 41S
34,27,32M 28S
35,27,32M 28S
37,27,31M 58S
37,30,31M 45S
40,30,31M 16S
42,30,30M 43S
42,32,30M 24S
42,33,29M 59S
42,36,29M 30S
43,36,29M 16S
44,36,29M 16S
44,38,29M 0S
45,38,28M 41S
46,38,28M 41S
46,39,28M 30S
46,40,28M 30S
46,41,27M 45S
46,42,27M 45S
48,42,27M 11S
49,42,26M 56S
50,42,26M 56S
52,42,25M 35S
52,44,25M 13S
52,46,24M 57S
52,48,24M 39S
52,51,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,51,23M 27S
55,51,23M 27S
55,53,22M 54S
56,53,21M 40S
57,53,21M 40S
57,56,21M 22S
59,56,20M 57S
59,58,20M 18S
59,60,19M 56S
61,60,19M 44S
62,60,19M 44S
63,60,18M 56S
64,60,18M 56S
64,62,18M 40S
66,62,18M 24S
66,64,18M 16S
68,64,17M 44S
71,64,16M 50S
74,64,15M 50S
74,65,15M 33S
75,65,15M 28S
76,65,15M 28S
76,66,15M 16S
78,66,14M 53S
78,68,14M 40S
78,70,13M 49S
78,71,13M 49S
81,71,13M 13S
81,74,13M 4S
81,76,12M 45S
83,76,12M 26S
83,77,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,79,11M 40S
83,80,11M 9S
83,81,11M 9S
83,84,10M 37S
83,87,9M 42S
83,89,8M 56S
86,89,8M 44S
86,91,7M 44S
89,91,7M 29S
91,91,6M 40S
93,91,6M 3S
93,93,5M 18S
94,93,4M 58S
95,93,4M 58S
96,93,4M 51S
97,93,4M 51S
97,95,4M 38S
100,95,4M 14S
100,97,3M 45S
103,97,3M 33S
106,97,2M 58S
107,97,2M 26S
108,97,2M 26S
108,99,1M 27S
108,101,1S
End of 4th quarter,NA,0S
