LA Lakers,Chicago,time_rem
13-4,7-9,48M 0S
2,0,47M 46S
2,2,47M 29S
2,4,46M 25S
4,4,46M 2S
5,4,44M 53S
7,4,44M 16S
8,4,43M 59S
10,4,43M 30S
10,6,43M 25S
12,6,43M 12S
14,6,42M 37S
16,6,42M 10S
17,6,41M 55S
20,6,41M 22S
20,8,41M 9S
20,9,40M 44S
20,10,40M 44S
20,12,40M 1S
22,12,39M 46S
24,12,39M 11S
24,13,38M 58S
24,14,38M 58S
26,14,38M 18S
27,14,38M 18S
27,15,36M 58S
27,17,36M 30S
29,17,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,17,35M 25S
31,19,35M 6S
33,19,34M 10S
34,19,34M 10S
36,19,33M 51S
37,19,32M 53S
38,19,32M 53S
39,19,32M 6S
41,19,31M 45S
41,21,31M 12S
43,21,30M 56S
43,23,30M 32S
46,23,30M 23S
46,25,30M 7S
46,27,29M 46S
48,27,29M 26S
49,27,28M 53S
50,27,28M 53S
51,27,28M 26S
Jump ball: A. Davis vs. T. Young (D. Schröder gains possession),NA,27M 46S
54,27,27M 6S
54,29,26M 30S
56,29,26M 19S
56,31,25M 20S
57,31,25M 4S
58,31,25M 4S
61,31,24M 43S
61,33,24M 32S
63,33,24M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,34,23M 46S
63,35,23M 46S
65,35,22M 52S
65,37,22M 21S
67,37,21M 54S
67,39,20M 45S
67,41,20M 15S
69,41,20M 1S
69,43,19M 44S
71,43,18M 8S
71,46,17M 54S
71,48,17M 2S
72,48,16M 21S
73,48,16M 21S
74,48,16M 21S
74,49,16M 13S
74,50,16M 13S
74,52,15M 53S
76,52,15M 41S
77,52,15M 41S
77,54,14M 59S
77,57,14M 21S
77,58,13M 54S
77,59,13M 54S
78,59,13M 49S
79,59,13M 49S
79,62,13M 36S
79,65,13M 10S
79,66,12M 48S
81,66,12M 35S
Jump ball: A. Davis vs. D. Gafford (M. Harrell gains possession),NA,12M 27S
83,66,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,66,10M 11S
85,66,10M 11S
87,66,8M 44S
89,66,8M 8S
89,68,7M 17S
91,68,6M 56S
91,71,6M 36S
93,71,6M 8S
93,73,5M 43S
94,73,5M 23S
95,73,5M 23S
95,75,4M 56S
96,75,4M 43S
97,75,4M 43S
97,78,4M 32S
97,80,3M 9S
99,80,2M 55S
99,81,2M 41S
99,82,2M 39S
99,85,1M 19S
101,85,1M 7S
101,86,51S
101,87,51S
101,90,20S
End of 4th quarter,NA,0S
