Minnesota,LA Clippers,time_rem
15-43,40-19,48M 0S
0,0,47M 44S
3,0,47M 31S
3,2,47M 10S
5,2,46M 53S
5,4,46M 23S
5,7,46M 6S
5,10,45M 42S
8,10,44M 54S
8,12,44M 37S
10,12,44M 25S
10,14,44M 9S
10,16,43M 16S
13,16,42M 19S
14,16,41M 37S
14,19,41M 16S
14,21,40M 41S
14,23,39M 39S
14,24,39M 39S
17,24,38M 52S
17,27,38M 33S
20,27,38M 10S
22,27,37M 28S
22,29,37M 17S
24,29,36M 44S
26,29,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,31,35M 48S
26,34,35M 1S
28,34,34M 45S
31,34,34M 8S
31,36,33M 16S
33,36,33M 7S
33,39,32M 47S
33,41,32M 18S
33,42,31M 50S
33,43,31M 50S
33,46,31M 34S
33,48,31M 7S
35,48,30M 54S
35,51,30M 38S
37,51,30M 29S
38,51,30M 29S
38,54,29M 17S
39,54,29M 4S
41,54,28M 35S
41,57,28M 25S
42,57,28M 7S
43,57,28M 7S
43,60,27M 53S
43,63,27M 25S
45,63,26M 51S
45,64,26M 45S
45,65,26M 45S
45,68,26M 27S
48,68,26M 6S
51,68,25M 31S
51,69,24M 53S
51,72,24M 29S
53,72,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,74,23M 39S
56,74,23M 21S
56,77,22M 54S
56,79,22M 30S
56,81,21M 21S
58,81,20M 36S
59,81,20M 36S
59,83,20M 21S
59,85,19M 54S
59,86,19M 54S
59,89,19M 6S
61,89,18M 53S
61,92,18M 36S
61,94,18M 12S
61,97,16M 1S
62,97,15M 44S
62,99,14M 44S
63,99,14M 34S
Jump ball: T. Mann vs. J. Vanderbilt (L. Kennard gains possession),NA,14M 11S
66,99,13M 29S
66,102,13M 0S
66,103,12M 27S
66,104,12M 27S
68,104,12M 15S
69,104,12M 15S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,104,11M 25S
71,106,11M 6S
72,106,10M 57S
73,106,10M 57S
73,108,9M 56S
76,108,9M 41S
79,108,9M 0S
82,108,8M 20S
84,108,8M 0S
84,110,7M 36S
87,110,7M 21S
88,110,6M 53S
89,110,6M 53S
89,113,6M 36S
92,113,6M 12S
92,115,5M 51S
92,116,5M 24S
92,117,5M 24S
95,117,5M 16S
95,119,4M 55S
96,119,4M 26S
97,119,4M 26S
97,120,3M 43S
99,120,3M 2S
99,123,2M 15S
101,123,1M 57S
104,123,1M 37S
105,123,1M 1S
105,124,46S
End of 4th quarter,NA,0S
