New York,Phoenix,time_rem
37-30,48-19,48M 0S
0,0,47M 37S
3,0,46M 38S
3,2,46M 22S
3,5,45M 56S
3,6,45M 25S
3,7,45M 25S
3,10,45M 3S
5,10,44M 46S
5,12,44M 19S
6,12,44M 9S
8,12,43M 47S
8,14,43M 35S
8,16,43M 9S
8,19,42M 3S
8,20,41M 30S
8,21,41M 30S
10,21,41M 15S
12,21,40M 56S
12,22,40M 15S
12,23,40M 15S
14,23,40M 1S
16,23,39M 34S
18,23,39M 12S
19,23,38M 57S
20,23,38M 57S
21,23,38M 57S
24,23,38M 18S
24,25,38M 6S
25,25,37M 50S
26,25,37M 50S
29,25,37M 28S
30,25,37M 11S
31,25,37M 11S
31,26,37M 3S
31,27,37M 3S
33,27,36M 52S
33,30,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 41S
35,32,35M 23S
35,34,34M 37S
35,37,33M 48S
37,37,33M 34S
37,39,33M 26S
39,39,33M 12S
41,39,31M 54S
41,41,31M 40S
44,41,31M 25S
46,41,30M 46S
48,41,29M 46S
50,41,29M 10S
50,43,28M 53S
52,43,28M 38S
54,43,28M 10S
54,44,27M 50S
54,45,27M 50S
54,46,27M 15S
54,47,27M 15S
54,50,26M 55S
54,52,26M 6S
56,52,25M 46S
58,52,25M 15S
58,53,24M 58S
58,54,24M 58S
61,54,24M 41S
62,54,24M 10S
63,54,24M 10S
63,55,24M 3S
63,56,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,23M 38S
66,59,23M 17S
66,62,22M 49S
68,62,21M 59S
68,65,21M 39S
70,65,21M 27S
70,66,21M 11S
70,67,21M 11S
73,67,20M 58S
73,69,20M 40S
73,71,20M 15S
75,71,19M 10S
75,73,18M 50S
77,73,18M 33S
77,75,18M 21S
80,75,17M 34S
80,77,17M 24S
81,77,16M 54S
82,77,16M 54S
82,79,16M 47S
84,79,16M 28S
84,81,15M 34S
85,81,13M 26S
88,81,13M 1S
88,83,12M 50S
88,86,12M 30S
88,88,12M 2S
88,90,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,93,11M 51S
89,93,11M 49S
90,93,11M 32S
91,93,11M 32S
93,93,11M 6S
93,96,10M 48S
93,98,10M 17S
93,101,9M 39S
93,104,9M 13S
96,104,8M 46S
96,107,7M 49S
96,108,7M 33S
96,110,7M 23S
96,112,6M 47S
98,112,5M 22S
99,112,5M 22S
99,113,5M 14S
99,114,5M 14S
102,114,4M 54S
102,116,4M 27S
102,119,4M 0S
102,120,3M 24S
102,121,3M 24S
104,121,2M 58S
104,122,2M 55S
104,125,2M 43S
105,125,2M 19S
105,128,2M 4S
End of 4th quarter,NA,0S
