Oklahoma City,LA Clippers,time_rem
6-8,12-4,48M 0S
2,0,47M 46S
2,2,46M 37S
4,2,46M 32S
4,4,45M 59S
6,4,45M 26S
6,6,45M 7S
6,9,44M 35S
6,12,44M 3S
6,14,43M 29S
6,16,43M 3S
8,16,42M 53S
8,19,42M 2S
8,21,41M 27S
8,23,40M 58S
8,25,40M 30S
10,25,40M 12S
12,25,39M 21S
14,25,38M 37S
14,27,38M 22S
14,29,37M 23S
14,31,37M 7S
16,31,36M 58S
16,33,36M 41S
16,36,36M 4S
18,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,36,35M 37S
21,38,34M 31S
23,38,34M 16S
23,40,34M 6S
23,41,33M 43S
23,43,33M 16S
24,43,33M 1S
25,43,33M 1S
25,44,32M 52S
25,45,32M 52S
28,45,32M 45S
28,46,32M 9S
28,47,32M 9S
28,49,31M 45S
28,52,31M 20S
28,55,30M 55S
31,55,30M 25S
31,57,30M 4S
33,57,29M 29S
33,59,29M 0S
36,59,28M 43S
39,59,28M 11S
39,61,27M 44S
41,61,27M 31S
41,62,27M 21S
41,63,27M 21S
41,66,26M 53S
43,66,26M 33S
45,66,26M 9S
45,67,25M 54S
45,68,25M 54S
48,68,25M 38S
48,70,25M 10S
50,70,24M 58S
53,70,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,70,23M 9S
56,72,22M 34S
56,75,21M 59S
56,76,21M 24S
56,77,21M 24S
56,79,20M 50S
57,79,20M 35S
58,79,20M 35S
58,81,19M 41S
60,81,18M 55S
60,83,18M 36S
62,83,18M 19S
65,83,17M 40S
67,83,17M 3S
67,85,16M 42S
69,85,16M 27S
72,85,15M 50S
75,85,15M 27S
75,86,15M 15S
75,87,15M 15S
75,89,14M 22S
75,90,13M 36S
75,91,13M 36S
78,91,13M 24S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,92,11M 42S
78,93,11M 42S
78,95,10M 12S
81,95,10M 0S
83,95,9M 16S
83,96,9M 7S
83,97,9M 7S
83,98,8M 32S
83,99,8M 32S
85,99,8M 14S
85,101,8M 9S
85,102,8M 9S
87,102,7M 35S
89,102,7M 11S
89,105,6M 30S
91,105,6M 11S
91,107,5M 47S
93,107,5M 3S
94,107,5M 3S
94,109,4M 17S
95,109,4M 12S
96,109,4M 12S
96,112,3M 59S
98,112,3M 46S
100,112,3M 6S
100,113,2M 48S
100,114,2M 48S
101,114,2M 44S
102,114,2M 44S
102,116,2M 27S
105,116,2M 17S
105,118,1M 9S
105,120,43S
106,120,16S
End of 4th quarter,NA,0S
