Portland,Philadelphia,time_rem
12-9,16-7,48M 0S
0,2,47M 39S
2,2,47M 18S
2,4,47M 2S
2,6,46M 40S
2,8,46M 12S
5,8,45M 52S
5,10,45M 31S
7,10,45M 20S
9,10,44M 20S
11,10,43M 52S
11,12,43M 3S
13,12,42M 57S
14,12,42M 57S
14,14,42M 40S
15,14,41M 1S
16,14,41M 1S
16,16,40M 41S
18,16,39M 56S
18,17,39M 42S
18,18,39M 42S
20,18,39M 0S
22,18,38M 47S
22,20,38M 34S
24,20,38M 21S
24,22,38M 7S
26,22,37M 45S
26,24,37M 35S
27,24,37M 21S
27,26,37M 11S
27,28,36M 51S
28,28,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 42S
31,28,35M 5S
32,28,35M 5S
32,29,34M 45S
32,30,34M 45S
35,30,34M 24S
35,32,33M 50S
37,32,33M 11S
37,34,33M 0S
40,34,32M 46S
40,36,32M 32S
43,36,31M 53S
43,38,31M 31S
43,39,31M 31S
45,39,31M 11S
45,40,30M 23S
45,41,30M 23S
48,41,30M 9S
48,43,29M 41S
48,44,28M 45S
48,45,28M 45S
51,45,28M 24S
51,47,28M 13S
51,48,27M 57S
51,49,27M 57S
51,51,26M 24S
53,51,26M 1S
53,53,25M 46S
55,53,25M 23S
55,54,25M 6S
55,55,25M 6S
57,55,24M 48S
57,57,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,57,23M 47S
62,57,22M 45S
64,57,22M 12S
65,57,21M 59S
66,57,21M 59S
69,57,21M 41S
71,57,21M 19S
71,59,21M 0S
74,59,20M 42S
74,61,20M 24S
77,61,19M 43S
77,63,19M 29S
79,63,18M 46S
79,66,18M 23S
81,66,17M 59S
84,66,16M 24S
86,66,15M 42S
87,66,15M 24S
88,66,15M 24S
88,69,15M 15S
Jump ball: H. Giles vs. M. Thybulle (C. Elleby gains possession),NA,14M 57S
89,69,14M 44S
89,70,14M 36S
89,71,14M 36S
90,71,14M 13S
91,71,14M 13S
92,71,14M 13S
93,71,14M 4S
93,72,13M 53S
93,73,13M 26S
93,74,13M 26S
95,74,13M 4S
95,76,12M 53S
97,76,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,78,11M 41S
97,79,11M 16S
97,82,10M 47S
99,82,10M 30S
101,82,9M 36S
101,84,9M 23S
103,84,9M 5S
106,84,8M 13S
106,86,7M 48S
108,86,7M 30S
111,86,6M 55S
111,88,5M 44S
113,88,5M 9S
113,90,5M 1S
115,90,4M 43S
116,90,3M 54S
117,90,3M 54S
119,90,3M 26S
119,93,3M 7S
119,94,2M 23S
121,94,1M 56S
121,97,1M 50S
121,100,1M 0S
121,102,38S
121,105,23S
End of 4th quarter,NA,0S
