Toronto,Indiana,time_rem
7-10,10-7,48M 0S
0,0,47M 45S
3,0,47M 36S
3,2,47M 9S
5,2,46M 19S
5,4,46M 5S
5,5,45M 20S
5,6,45M 20S
7,6,45M 4S
7,8,44M 28S
7,10,44M 11S
7,13,43M 17S
9,13,42M 54S
9,14,42M 36S
12,14,41M 59S
12,17,41M 45S
13,17,41M 19S
14,17,41M 19S
17,17,40M 52S
19,17,40M 1S
19,20,39M 48S
19,23,39M 12S
20,23,39M 5S
21,23,39M 5S
21,26,38M 47S
23,26,38M 30S
23,29,38M 15S
23,31,37M 53S
25,31,37M 38S
28,31,37M 18S
29,31,36M 59S
30,31,36M 59S
30,33,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,35,35M 45S
31,35,35M 29S
32,35,35M 29S
32,36,35M 18S
32,39,35M 13S
32,41,34M 29S
34,41,34M 7S
34,42,33M 51S
34,43,33M 51S
36,43,33M 35S
38,43,33M 2S
40,43,32M 40S
40,45,32M 12S
40,48,31M 25S
42,48,30M 52S
42,50,30M 37S
43,50,30M 28S
44,50,30M 28S
44,52,29M 42S
45,52,29M 34S
46,52,29M 34S
46,54,28M 43S
49,54,28M 23S
49,55,28M 1S
49,56,28M 1S
52,56,27M 42S
52,58,27M 12S
52,60,26M 55S
52,62,26M 28S
54,62,26M 8S
54,63,25M 55S
54,64,25M 55S
54,66,25M 34S
54,68,25M 9S
56,68,24M 58S
58,68,24M 34S
58,70,24M 11S
60,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,73,22M 56S
63,73,22M 46S
65,73,22M 14S
66,73,21M 44S
67,73,21M 5S
68,73,21M 5S
70,73,20M 51S
71,73,20M 48S
71,74,20M 30S
71,75,20M 30S
74,75,19M 52S
74,78,19M 39S
77,78,19M 23S
77,80,18M 35S
77,81,18M 9S
77,82,18M 9S
79,82,17M 54S
79,83,17M 41S
79,84,17M 41S
80,84,17M 30S
81,84,17M 30S
83,84,16M 40S
83,85,16M 32S
83,86,16M 32S
86,86,15M 9S
86,89,14M 56S
86,90,14M 27S
86,91,14M 27S
86,93,14M 4S
89,93,13M 48S
90,93,13M 48S
90,95,13M 8S
93,95,12M 53S
93,96,12M 30S
93,97,12M 29S
93,98,12M 29S
95,98,12M 7S
96,98,12M 0S
97,98,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,100,11M 42S
100,100,10M 26S
102,100,9M 46S
102,102,9M 32S
102,103,8M 36S
102,106,7M 40S
102,107,6M 51S
102,108,6M 51S
104,108,6M 41S
104,110,6M 14S
106,110,5M 29S
106,112,5M 4S
109,112,4M 39S
109,114,4M 8S
109,115,4M 8S
109,116,3M 27S
109,117,3M 27S
110,117,3M 23S
111,117,3M 23S
111,118,3M 2S
111,119,2M 53S
111,121,1M 50S
111,123,1M 23S
111,124,53S
111,125,53S
111,126,47S
112,126,47S
112,127,42S
112,128,42S
112,129,42S
114,129,32S
End of 4th quarter,NA,0S
